Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
246.355,0.19417,1.20432,-2.23798,-6.22403,-0.47937
247.477,-5.24265,-0.40144,-1.22071,-1.19693,0.23968
248.599,-1.94172,-1.0036,3.8656,-0.95754,0.95873
249.721,5.24265,1.0036,-0.61036,4.30894,4.07461
250.844,3.29229,-4.31084,-1.83981,-7.30603,2.16744
251.966,3.02511,8.04115,-1.35844,-10.92216,-4.00087
253.089,-0.42408,1.75351,-1.11087,7.84239,1.57042
254.212,6.98587,3.06363,1.10905,-1.04394,3.39703
255.336,-2.11741,1.96992,6.65583,3.91568,2.6137
256.459,-1.26619,-1.96332,-3.53787,-2.6017,6.25183
257.583,4.23296,-4.37568,-1.77411,2.60931,2.61255
258.707,1.05881,1.97011,-3.772,-2.08857,1.04558
259.832,-0.4244,1.97417,4.00211,7.06344,-3.929
260.956,0,0.44213,-1.56854,2.90018,-1.3199
262.081,3.43703,2.88675,-2.70097,2.91318,-4.24261
263.206,-2.36874,1.113,4.51264,-1.06193,4.25299
264.331,1.51256,0.6701,0.45281,-0.79918,-2.93398
265.457,0,-2.24391,2.72936,2.40856,0.26795
266.582,1.7374,-6.28592,-0.68266,5.89038,0.80423
267.708,0,2.03063,1.82958,7.80362,-2.42482
268.835,2.84501,1.58358,6.42057,-7.55455,-3.24168
269.961,2.18727,1.13051,0.91672,-1.61795,0.53999
271.088,-0.21835,4.28859,-1.83031,-2.42277,-2.96484
272.214,0,0,-2.26805,5.60412,0.53439
273.341,5.20969,-0.67317,-0.90978,0.80285,-3.75127
274.469,3.90117,3.36059,2.95217,5.61116,2.94283
275.596,4.98355,1.34389,-0.90813,-2.13704,7.75637
276.724,3.00565,4.88242,1.12475,-3.9702,-1.59005
277.852,7.03489,0,4.46734,-0.26282,-1.05257
278.98,4.22323,-0.21828,1.77003,3.90496,2.34588
280.109,4.18445,-0.43255,1.09611,-3.61117,2.32435
281.237,5.61591,2.58012,1.52556,1.795,-2.56747
282.366,3.49536,-0.21254,1.93893,-2.78835,1.0152
283.495,1.2215,4.41939,-5.75944,7.27864,5.27728
284.625,7.04765,1.45705,-2.32083,1.73774,6.46248
285.754,4.57514,-1.85064,-1.04213,1.71667,-4.41976
286.884,6.48049,-1.624,4.52681,3.14737,0.24241
288.014,9.8703,2.80085,-1.41949,-2.386,8.36138
289.144,2.8992,2.19777,4.45539,2.38286,-4.05589
290.275,2.85984,1.77376,1.19861,4.23091,2.58877
291.405,10.18965,0.58518,2.17487,-1.39581,0.69877
292.536,9.38534,0,3.93356,8.56235,6.02425
293.667,4.65392,4.0411,-1.17032,0.68851,-4.13619
294.799,8.47654,1.71437,0,0.90872,1.36478
295.93,5.48894,0.18913,0,-0.90227,-0.67754
297.062,2.90974,3.38383,-0.3811,-1.56943,13.02002
298.194,5.05749,1.49372,0.75703,2.22684,0.89184
299.326,5.22512,2.60752,4.53091,3.33197,0.88963
300.459,9.31159,3.33192,0.75051,-4.41532,5.30495
301.591,6.42406,3.87372,3.73949,7.25992,3.08379
302.724,9.05563,2.38613,5.02328,3.94032,2.41096
303.857,15.74664,6.58418,0,0.87251,5.02314
304.991,20.15178,2.74095,3.51915,-0.43586,8.72807
306.124,24.78147,6.40426,5.74958,6.32861,6.33646
307.258,33.41802,6.03163,3.70531,4.57772,6.1112
308.392,39.83879,10.75106,6.27989,1.7386,10.22693
309.526,47.20788,9.97761,11.76841,14.71235,8.01519
310.661,55.52193,10.53434,12.70288,10.39752,12.1455
311.795,63.83116,16.31457,13.04563,14.48496,15.15232
312.93,72.91293,13.47217,11.25666,13.24479,14.56561
314.065,80.60105,11.79894,19.87135,21.43257,16.90723
315.201,94.54546,20.59444,18.4944,17.23632,20.49353
316.336,103.60407,25.28435,19.40455,26.92422,19.84082
317.472,108.1047,21.62897,24.48123,19.56164,25.1819
318.608,114.24634,19.14625,25.57367,20.91392,24.35863
319.744,113.95984,23.77496,24.46108,20.67994,22.8402
320.88,122.89623,22.5687,26.19672,26.04806,21.51632
322.017,115.96202,27.42047,20.4698,26.29478,25.6637
323.154,117.97848,26.308,27.6186,27.1178,24.00997
324.291,119.02313,24.26336,26.72392,25.51964,24.63877
325.428,119.5639,25.14457,24.11459,17.99305,26.33018
326.566,121.34059,28.17814,26.38003,29.63895,29.67574
327.703,114.66948,19.19528,27.68061,21.00497,29.30167
328.841,118.24396,23.13013,31.3275,24.25659,30.95363
329.979,112.02399,28.29802,22.58051,22.02085,32.83262
331.118,105.88075,24.23264,25.17667,24.80653,28.21326
332.256,100.86973,21.90903,20.35675,21.77466,26.40426
333.395,92.18762,17.4743,23.06712,22.77921,13.3448
334.534,87.73832,19.31878,20.20022,24.253,25.25443
335.673,86.03687,22.5906,23.72338,17.71891,14.33854
336.812,98.76315,19.76654,22.72089,21.87312,26.76699
337.952,130.03897,24.47773,29.35972,29.19311,21.67843
339.092,228.84767,37.82566,32.33056,39.25998,44.19177
340.232,536.74901,89.09497,84.08002,100.3957,105.65638
341.372,1134.25779,196.61414,191.59435,219.55888,228.89914
342.512,2090.49611,378.20264,364.58123,419.15654,435.15667
343.653,3364.58896,633.62719,618.60749,703.48767,724.08391
344.794,4730.81945,923.85313,927.82079,1001.97284,1023.01354
345.935,5883.63843,1200.57903,1198.35456,1268.70704,1277.98946
347.076,6434.62127,1340.82361,1374.63205,1428.93128,1435.72399
348.217,6264.83278,1342.03957,1399.93891,1410.54794,1399.17746
349.359,5412.94947,1194.03313,1248.74839,1256.53102,1226.02114
350.501,4066.10323,945.54296,1013.69492,970.98298,953.4725
351.643,2670.65015,658.86151,716.86449,656.75206,642.61078
352.785,1507.89146,394.2448,418.76819,398.17368,381.54877
353.928,705.34116,197.66177,230.64955,206.59714,192.52492
355.07,264.74648,87.56657,96.09992,86.63687,85.172
356.213,91.92203,42.32971,47.37549,36.81132,32.90804
357.356,38.33776,23.46828,18.40192,21.12393,27.75957
358.5,30.94894,16.44056,13.7369,12.98346,20.6932
359.643,24.80705,17.83894,13.78741,15.69063,22.89947
360.787,20.50712,12.04971,12.43997,25.01612,6.92794
361.931,19.68253,22.35843,9.29178,7.1997,10.41247
363.075,21.87641,11.86676,14.75175,12.01651,16.57662
364.219,21.70576,7.40441,14.10075,14.718,13.66454
365.364,20.4388,18.20599,15.26433,10.4545,12.61465
366.509,16.93681,13.69205,13.87849,15.25888,9.91718
367.654,17.97921,14.33093,14.07213,17.62575,11.23031
368.799,19.66168,9.38059,12.22499,10.12217,7.73441
369.944,19.58086,12.67847,13.52749,9.01946,6.10897
371.09,15.66753,11.98045,7.64596,13.22997,16.16059
372.235,16.94754,13.97081,4.04601,14.01736,9.00343
373.381,12.66742,9.54347,13.72276,16.94054,17.22659
374.527,16.05393,8.85078,9.86843,6.59737,11.36157
375.674,16.3266,4.60284,6.88719,8.365,6.54327
376.82,9.70611,12.21454,11.27543,7.54391,7.81373
377.967,18.64409,9.96118,9.65783,5.68179,5.17167
379.114,12.84939,10.49757,10.2062,7.15418,11.76788
380.261,10.31605,7.46471,7.78254,10.42889,13.75266
381.408,11.75499,3.62408,8.2112,11.94968,14.51016
382.556,18.9364,12.979,12.50873,10.65786,11.43331
383.704,27.14799,14.34818,17.96556,22.14521,17.88933
384.852,35.19876,30.25079,26.15979,24.97728,34.35481
386,48.8406,38.75586,36.52312,51.46858,37.02332
387.148,68.32823,62.08954,56.38807,57.40153,69.41517
388.297,95.39574,83.85113,81.2524,91.9354,87.64288
389.445,128.70291,112.21661,107.1864,114.78376,108.64875
390.594,145.57321,130.17845,137.19684,139.11319,139.76123
391.743,169.71564,161.97319,166.18583,163.65618,163.62285
392.893,182.31571,174.69209,172.88336,183.24015,179.23914
394.042,182.2118,183.92583,176.66957,180.76877,182.83297
395.192,175.63967,177.15675,173.7452,179.07764,173.12504
396.342,157.97645,159.70764,160.53973,159.55558,164.72473
397.492,135.72678,135.8074,145.63127,137.39467,132.42049
398.642,108.03054,107.05843,121.05173,117.55564,105.35832
399.792,81.49558,86.07475,89.66003,83.65386,87.91278
400.943,58.89487,60.51388,64.12597,62.98583,58.24662
402.094,41.38965,45.89352,40.40247,40.56018,37.33548
403.245,25.52086,24.38,33.37962,27.34065,24.98474
404.396,16.73658,16.57243,23.99727,16.50698,16.31
405.548,12.65456,8.53914,11.23362,9.75075,6.72552
406.699,8.4162,10.87496,7.89985,7.78195,7.14231
407.851,4.02204,6.14609,3.11489,9.48598,3.66959
409.003,5.21829,3.59616,5.28543,3.43114,1.07356
410.155,9.17797,4.11718,1.9959,0.64048,1.28254
411.307,-1.20732,1.96118,5.96366,2.97689,4.68377
412.46,2.92484,3.55701,1.983,1.69689,0.42475
413.613,-0.85685,4.25155,1.61604,4.22548,4.65379
414.766,2.04373,4.22527,0.89225,-3.35948,7.98867
415.919,1.01727,3.1547,-0.3553,6.89778,1.04642
417.072,2.37222,-4.02862,1.77543,0,0
418.226,6.3828,2.25721,-1.05598,2.48496,3.3174
419.379,1.6713,-0.69106,-3.15211,-4.73906,2.68192
420.533,0,0.17188,1.74217,1.02493,-0.82097
421.687,0,1.20021,-1.91173,-1.43142,5.52806
422.841,4.62855,-0.17088,-0.17321,-2.44557,4.081
423.996,-1.31686,3.06283,-0.86237,5.07341,1.01594
425.15,-0.49105,0.84601,2.7441,5.24673,2.82867
426.305,-0.48803,2.35428,4.09087,-1.40391,-2.40969
427.46,0.80977,-0.33483,0.33939,2.59564,1.39939
428.615,0.48252,2.49394,-0.16853,-0.59487,0
429.771,3.6839,-1.32456,0.83912,1.38226,0.39542
430.926,1.12178,3.1475,-1.34331,-2.17327,-2.37379
432.082,-1.59707,3.79712,2.00808,0.59069,0.19714
433.238,1.59474,2.47276,-1.50386,1.76947,-1.37796
434.394,0.15948,4.28637,0.50132,1.17972,-0.98432
435.55,-0.95671,3.46137,1.50364,-1.76921,1.57459
436.707,0.47739,5.42839,1.33389,0.98093,0.78572
437.863,-1.10934,4.25934,-0.66421,4.29834,0.39124
439.02,-0.15865,-2.29596,-1.6623,2.73825,0.39166
440.177,0.94792,-0.65326,-0.82769,-1.75298,2.73024
441.334,4.4136,0.97766,0.16516,0.38867,3.89148
442.491,0.94043,-0.97214,5.09111,1.15941,0.7739
443.649,-1.5651,-5.82432,-0.65596,-2.12249,0.77277
444.807,-2.18833,-0.64632,0.8189,0.57812,1.73651
445.964,-3.73131,2.4107,0.81451,1.91673,-3.83822
447.122,3.7185,-0.48048,0.32469,1.71914,-2.29503
448.281,-0.61572,1.90944,-0.80643,2.27727,5.32023
449.439,1.22728,3.17165,1.44668,0.18913,-0.75747
450.598,-1.22425,1.89829,-0.48104,1.88665,1.32229
451.756,2.44206,1.41998,0.31985,1.50535,-1.50722
452.915,1.21574,-4.08436,1.27384,0.37471,3.93929
454.074,0.45463,-2.0365,1.42908,-0.74733,0.18706
455.234,0.75613,0.46898,2.21836,-1.30508,-0.74669
456.393,1.35866,1.24842,1.58178,-0.55834,2.60884
457.553,4.21503,1.55613,1.26185,1.29913,-1.67238
458.713,3.00908,-1.39974,-3.62583,-0.74195,1.85718
459.873,-2.09715,-1.70332,0.31391,0,2.58868
461.033,-3.28839,-0.15451,0,2.57988,2.9521
462.193,-0.89438,1.23271,-3.12373,-1.65395,3.128
463.353,-2.52702,0.7683,1.71328,3.29871,2.38536
464.514,0.59205,-0.30601,0.15509,2.00726,2.19245
465.675,1.91777,0.15249,-1.23657,3.63742,3.82403
466.836,-0.58727,0.75883,1.3845,0.72401,-2.35596
467.997,3.36489,-3.02465,-1.37963,0.5411,1.8059
469.159,2.77721,-1.35988,3.52256,3.06348,-4.14985
470.32,-2.33306,-2.86393,0.30557,2.51678,-3.05988
471.482,0.43645,-3.30858,-3.65851,1.25553,-3.23251
472.644,1.3092,-0.15037,-0.45726,-2.15206,-1.97517
473.806,2.03455,1.05158,1.37044,-2.68747,1.4351
474.968,0.14492,-0.44943,0.15185,1.25067,-1.78889
476.13,0.14494,1.49829,1.9743,-0.53608,3.04154
477.293,-0.86588,0.74589,0,1.24541,3.56274
478.455,1.29657,2.82949,-0.90569,2.1313,-0.35566
479.618,-1.86949,-0.29731,-2.71224,0.88646,0.71005
480.781,1.43703,-0.2971,0.90342,2.65746,-2.12861
481.945,1.29533,0.74389,-1.50804,0.35488,4.08617
483.108,2.88205,1.63857,1.96286,-2.30954,-0.17788
484.271,0.14438,-1.34319,-0.6051,2.84789,-0.71286
485.435,-0.86551,-0.14912,-2.41834,-0.17784,-1.24644
486.599,1.73159,1.64081,0.45359,-1.77899,0.71248
487.763,-1.29975,5.07574,1.66451,3.5609,3.20879
488.927,-0.57763,-0.89566,2.72356,2.67049,-1.60428
490.092,-0.86726,0.8965,1.06016,1.4256,-2.14105
491.256,0.72375,-1.49631,-0.455,1.96301,-0.17868
492.421,0.14444,-0.14931,0.45404,0.53423,1.42638
493.586,0.28851,1.78943,2.7207,2.66769,-0.71227
494.751,0,-2.23827,0.75625,1.60167,-1.06911
495.916,-0.14404,0.59558,2.1129,-1.59819,2.31137
497.081,0.71798,0.59375,0.75229,1.06219,1.06351
498.247,-0.71823,-2.07885,0.90307,1.77094,-2.30508
499.412,0.71775,0.44517,1.20328,0.17698,0.70878
500.578,0,-1.48263,0.15028,-1.59142,-1.41635
501.744,1.43541,1.92895,1.05281,4.60108,-0.35437
502.91,-1.00149,0.59158,-0.74954,0,0.70641
504.077,1.00308,0.74065,0.60058,-0.70666,-1.0613
505.243,0.4286,-0.73843,1.19757,1.58522,0.52906
506.41,0.14244,0.73622,-1.04474,0.52682,2.81322
507.576,0,-0.8823,-0.89431,1.40302,-2.10714
508.743,2.55713,1.02797,-0.29771,-1.40114,-3.33184
509.91,-0.99267,-0.43977,0.44576,0,0
511.078,0.4256,0.43995,-0.59458,3.14819,-0.87558
512.245,1.97907,-0.87677,0.44435,1.21995,0
513.413,-2.25514,-0.58279,0.73841,2.08519,2.7837
514.58,-1.26901,-2.04058,-1.18192,-0.86917,-4.52529
515.748,-1.97262,1.01957,0.29527,-0.17371,-1.39141
516.916,0.42142,-0.29042,1.17749,2.07819,-1.04038
518.084,-0.42139,2.32318,2.06046,-1.7317,-0.52015
519.253,0,1.01613,-0.73569,2.59687,-1.38672
520.421,2.52328,0,-0.14688,0.86412,-3.28773
521.59,1.6815,1.30365,1.3214,1.90029,-0.86484
522.759,0.83964,0.7233,-0.43989,1.38021,0.69096
523.928,0.2795,-0.14446,0.58573,1.37835,-2.2426
525.097,-3.47813,-0.14382,1.02042,-5.83172,2.06081
526.266,-2.08678,1.00667,0.29154,0.34303,-1.71726
527.435,-0.41817,1.29681,3.79737,1.71848,2.40886
